"","x"
"513",4.833079762559e-06
"514",3.185453821831e-06
"515",1.2696e-08
"516",2.554030283026e-06
"517",5.981067156485e-06
"518",4.159083368269e-06
"519",4.6300707966264e-05
"520",8.318825056241e-06
"521",1.0139719673895e-05
"522",9.670680721656e-06
"523",7.072225225071e-06
"524",5.633960884378e-06
"525",7.754444428039e-06
"526",5.934932160549e-06
"527",4.936164061453e-06
"528",6.6801751829e-06
"529",7.258535340674e-06
"530",2.0360797631422e-05
"531",9.621144193459e-06
"532",4.891466626391e-06
"533",2.7642529088351e-05
"534",8.889456243081e-06
"535",4.779333647786e-06
"536",1.1440348291595e-05
"537",1.9040964539923e-05
"538",6.390151214174e-06
"539",7.841324379129e-06
"540",1.2143017373829e-05
"541",1.5545653667454e-05
"542",2.0890772502608e-05
"543",1.1762071993051e-05
"544",1.1204873677163e-05
"545",1.1362444597982e-05
"546",8.62498699071076e-06
"547",7.912627644943e-06
"548",3.149384121101e-06
"549",8.54135317597e-06
"550",7.274102697547e-06
"551",7.745374223732e-06
"552",8.06800874255e-06
"553",1.5633988949318e-05
"554",9.162831108175e-06
"555",1.1916746594666e-05
"556",1.5898404056267e-05
"557",2.1336379442523e-05
"558",2.236242310959e-05
"559",1.0933313888867e-05
"560",9.472277302735e-06
"561",1.3182315483152e-05
"562",1.1526423339436e-05
"563",4.421047920667e-06
"564",3.96968160549e-06
"565",7.887283419839e-06
"566",1.8706524240366e-05
"567",7.838830130068e-06
"568",1.3949055842064e-05
"569",1.6632366773589e-05
"570",1.1242297527783e-05
"571",9.486149330738e-06
"572",3.9526449589798e-05
"573",1.497821505128e-05
"574",1.2471425475022e-05
"575",1.0824586543698e-05
"576",1.4716338977293e-05
"577",1.5592649016216e-05
"578",1.940568114823e-05
"579",1.6217648181565e-05
"580",7.240473701568e-06
"581",3.901340123893e-06
"582",8.070585373722e-06
"583",7.415892083212e-06
"584",1.2077096076353e-05
"585",1.5694198492259e-05
"586",6.330831167804e-06
"587",1.5408030812032e-05
"588",1.4927960402308e-05
"589",7.473514092461e-06
"590",8.354261734447e-06
"591",9.087664371269e-06
"592",2.0352325905583e-05
"593",2.1736135356925e-05
"594",1.4380287036959e-05
"595",8.4038537317e-06
"596",4.490744670068e-06
"597",9.123156004647e-06
"598",1.3843184791943e-05
"599",5.803604336767e-06
"600",7.113386212332e-06
"601",4.095753231388e-06
"602",9.178225413152e-06
"603",7.142027117903e-06
"604",6.402537211632e-06
"605",8.163045536725e-06
"606",7.071476715632e-06
"607",2.882959540027e-06
"608",5.347452655193e-06
"609",9.473720821485e-06
"610",1.8447019366739e-05
"611",1.4658368920455e-05
"612",1.782984270423e-05
"613",8.641421683319e-06
"614",1.0545890334818e-05
"615",4.1104344188767e-05
"616",3.4110893619289e-05
"617",1.279635031095e-05
"618",2.4802837878411e-05
"619",4.6908716924238e-05
"620",2.9150222842045e-05
"621",1.0195809193964e-05
"622",3.538607508417e-06
"623",1.9280840656288e-05
"624",2.6979308052081e-05
"625",4.6609880253844e-05
"626",0.000114479617376824
"627",0.000186208260783586
"628",4.8923674321669e-05
"629",4.5227685193648e-05
"630",7.6000364078474e-05
"631",5.4511721332839e-05
"632",5.1378354675122e-05
"633",5.9237627678132e-05
"634",5.0965845897732e-05
"635",4.1415736163271e-05
"636",2.631864793122e-05
"637",5.9329245713611e-05
"638",3.1319112515296e-05
"639",4.2105708243962e-05
"640",0.000120458361084721
"641",6.692026363789e-05
"642",5.2949841811581e-05
"643",6.0983554737949e-05
"644",4.9422017289007e-05
"645",2.9170970020771e-05
"646",4.0063375448508e-05
"647",1.6591382210342e-05
"648",1.9471450919821e-05
"649",4.9080535083822e-05
"650",3.6176824750888e-05
